,fallacy_reason,fallacy_type,premise_content,premise_type,title,url
782,That still doesn’t tell us how Ruby comes off in comparison to Python.,Irrelevant Conclusion,No. There's no question. Ruby sux!!,because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
783,Judgmental wording,Prejudicial Language,No. There's no question. Ruby sux!!,because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
784,"If someone not apart of the government breaks into a building, even if they believe doing so is for the greater good, they are still a burglar. If someone were to hold a child in a building against their will and demand their parents pay them, it would be kidnapping with ransom.",Fallacy Of Special Pleading,"A thief steals for his/her own gain and does not give back to the victim; a government gives back to those taxed in the form of a police force and other humanitarian necessities, schools, and roads. A government cannot give necessary services without some form of income.",but,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
785,Asking for arguments is the whole point of this website. The green and red arguments are the response to your question.,Wrong Direction,May I ask why?,however,"There should be a minimum age for joining any organized religion, where children are not allowed.",https://en.arguman.org/there-should-be-an-age-limit-for-joining-any-religion-where-children-are-not-allowed
786,"""Since with the current system it sucks, that must mean the opposite must not suck!""",Begging The Question,So far we have tried the other way and our world sucks.,because,Women should rule the world.,https://en.arguman.org/women-should-rule-the-world
787,Substantial citation needed.,Begging The Question,"However, women are more likely to adopt this problem-solving philosophy. Therefore, men should make an extra effort to include women in decision-making efforts.",however,Women should rule the world.,https://en.arguman.org/women-should-rule-the-world
788,"You brought ""forcing"" into the argument without me using it. FORCING a child to do most activities is mostly child abuse anyway so it's irrelevant to the discussion.",Irrelevant Conclusion,"the choice to become religious demands a certain level of introspection and consciousness, something that is hard to demand from a child. The choice to become religious is personal, and not something one is forced into by for example parents.",but,"There should be a minimum age for joining any organized religion, where children are not allowed.",https://en.arguman.org/there-should-be-an-age-limit-for-joining-any-religion-where-children-are-not-allowed
789,...,Begging The Question,You can not override builtin data structures.,but,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
790,...,False Analogy,"Ruby is a type of mineral, which forms over billions of years. Pythons live and die many generations per generation of Ruby.",but,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
791,...,Prejudicial Language,Ruby is a caveman language for garbage people,because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
792,No argument.,Irrelevant Conclusion,Elm,but,Functional programming is not useful for most apps,https://en.arguman.org/functional-programming-is-not-useful
793,"The use of FP (or any other paradigm) in x or y doesn't support any argument in this case, as of today most applications are written in another paradigm.",Appeal To Authority,"features and principles from functional programming (e.g. first-order functions, immutability, monads) find wide application in established and new programming languages and at a higher level in system design (Google MapReduce, Twitter Finagle etc.)",but,Functional programming is not useful for most apps,https://en.arguman.org/functional-programming-is-not-useful
794,Just because Amazon or some other company was successfully using it doesn't mean it supports the counter-argument. One could also count every other company that uses an other paradigm... Nothing argumentative achieved by this.,Appeal To Authority,Some impressive results are being achieved with functional languages today. For example a recent success in this area is the Amazon competitor Jet.com. Functional languages are increasing in number and popularity which shows increasing applicability to real world challenges.,but,Functional programming is not useful for most apps,https://en.arguman.org/functional-programming-is-not-useful
795,Your own citation disagrees with you.,Slothful Induction,Ethnic diversity reduces concern for the environment.,because,Ethnic diversity reduces social solidarity and diminishes social capital,https://en.arguman.org/ethnic-diversity-reduces-social-solidarity-and-diminishes-social-capital
796,That is called theistic evolution and a) has no basis to prove it and b) is irrelevant since it's technically not creationism.,Irrelevant Conclusion,There are creationists that exist who mix science with their religion. Some believe that the universe is actually 13.8 billion years old and that god did use evolution to create. They interpret their religious texts and certain word usages to support scientific findings.,however,"Schools should be required to present creation as a theory alongside evolution, since neither can be proven superior over the other by science",https://en.arguman.org/schools-should-be-required-to-present-creation-as-a-theory-alongside-evolution-since-neither-can-be-proven-superior-over-the-other-by-science
797,Angular 2's backward incompatibility is not the reason why React is killing Angular (if it is).,Fallacy Of Red Herring,Angular2 is not backward compatible,because,React is killing Angular,https://en.arguman.org/react-is-killing-angular
798,"And then Angular 4 and 5 and 6?
Is Angular a framework or a human teenager?",Fallacy Of Slippery Slope,We dont know when backward incompatible Angular3 will come out,because,React is killing Angular,https://en.arguman.org/react-is-killing-angular
